,별점(평점),리뷰내용,작성자,작성일자,공감횟수,비공감횟수
0,10,쓸데 없이 많은 생각을 하며 살고 있는 나는 정작 이룬것이 하나도 없다.,수사국장(20f0****),2014.07.03 11:22,2228,31
1,10,인생의 교과서로도 손색없는 영화다. 삶에있어서 커다란 교훈을준다 장애에 굴하지않고 모든 일에 부딪쳐보는것 그 결과가 좋든 나쁘든 그것도 하나의 인생경험이된다. 인생은 초콜릿상자와 같기때문에,굿 데이 투 다이(rlax****),2013.06.09 18:26,1565,50
2,10,맞아.....내가 선택해서 가고 있는 길...그거면 된거야,Montreux(voic****),2013.06.06 23:14,1549,99
3,10,7번방따위와 비교하지말라,라라라라라랄(elek****),2014.02.25 01:31,1397,105
4,10,지금까지 봐온 영화중에 가장 멋지고 감동적인 영화였다. 보고 또 봐도 한상 진한 감동을 주는 영화 포레스트 검프 평점 10점이 아깝지 않은 내 인생의 최고의 명작 중 하나이다.,절묘(just****),2013.06.10 06:42,1067,33
5,10,"포레스트가 아들은 바보가 아니냐고 했을때 왜 이렇게 찡했는지 모르겠음. 왜 최고의 영화라고 하는지, 보니까 이해가 가네요. 재미와 감동 두 마리 토끼를 잡은 최고의 명작입니다.",오웬(zenu****),2014.02.20 17:11,986,15
6,10,"베스트 평은 잘못됐다. 이 영화는 내가 선택한 길을 강조하는 영화가 아니다. 다소 모자라지만 속세의 가치에 빠지지 않고 사랑, 신뢰, 우정 등 인간 본연의 숭고한 가치를 지키며 살아가는 주인공의 순수함을  통해 세상...",sh87****,2015.01.14 09:36,897,46
7,10,어떻게 인생을 살아가야 하는가_ 포레스트처럼  나에게 주어진 순간 순간들을 순수하게 받아들이며 열정으로 삶의 숙제를 해나가는 것.. 아닐까?,gmlw****,2013.07.07 09:11,741,17
8,9,"관람객


														
															
															
																포레스트는 바보가 아니다. 자신에게 솔직하고, 순간에 충실하게 살아온 그는 삶의 진리를 체득하고 있는 천재가 아니었을까?",서현B(defe****),2016.02.17 14:30,652,19
9,9,‘인생은 초콜렛상자와 같은거야.? 열기 전까진 무엇을 집을지 알수없거든.’ 중학교 3년동안 왕따당하는 나라도 가능성이 있을까?,아이어골렘(tnen****),2016.09.08 16:04,622,20
10,10,내 인생 최고의 영화~! 톰행크스를 세계적 배우로 만든 작품~!,지혹에나가버려(sing****),2013.06.06 17:02,620,25
11,10,포레스트 검프의 순수함이 부러웠다.,star****,2013.09.23 13:57,516,11
12,10,20세기 최고의 '명 품',바보나라(luck****),2013.11.08 05:16,517,23
13,10,영화가 끝나고 깃털이 날리며 노래가나올때... 끝나고 나서 가슴에 먹먹함을 주는 영화입니다. 가슴이 찢어질것같네요...이런 기분은낀영화는 이영화랑 굿윌헌팅밖에 없는것같아요...,kun0****,2013.06.02 15:00,494,10
14,10,어쩌면 우리는 너무많은 걱정과 생각과 불안에휩싸여 일을 그르치는게 아닌가 생각이든다 일일히 줄자로 재어가며 일을하고 사랑을하는 현대인을 검프를통해 신랄하게 짚어넘어가고있다 제1순위는 물질이아닌 행복이아닐까,크리스티아누호날두(ddok****),2013.08.10 08:57,460,17
15,10,"관람객


														
															
															
																삶은 우연과 필연이 뒤섞인 공간",마정현(znea****),2016.01.31 21:39,407,12
16,10,Life is like a box of chocolates. You never know what you are going to get.,youe****,2013.07.14 23:29,408,14
17,10,별로 슬픈 씬도 아닌데 보는내내 가슴이 먹먹하고 눈물이났다....왜일까.... 아무것도모르는 포레스트의 눈빛 입모양 자세 표정이 내지난날과는 너무도 달랐기에 통탄한 후회가든다....나는 얼마나 잘나고 많이 알기에 그...,웨스트(dust****),2014.01.30 03:37,397,7
18,10,"관람객


														
															
															
																복잡한 생각에 치우쳐 이러지도 저러지도 못하는 나같은 사람이 바보다.",앙리(supe****),2016.10.08 10:23,397,8
19,10,검프는 연설에서 무슨말을 했을까,unji****,2017.03.16 20:56,336,8
20,10,"관람객


														
															
															
																한사람의 인생을 앉아서 볼수있게해준다는건 감사한 일이다",은구(eung****),2016.02.21 00:08,295,5
21,10,1994년 6학년때 가족들이 모두 모여서본  처음이자 마지막 영화... 성인 되고나서도 이 영화 2년에 한번꼴로 다시 보는데... 정말 20년 전에 어떻게 이런 영화를 만들었나 싶기도 하고... 대단하다는 생각밖에 ...,asic****,2013.07.25 02:11,294,7
22,10,"포레스트 검프.  이 세상에 포레스트같은 바보들이 조금 더 많이 있다면 세상은 달라졌을 것이고, 달라질 것같다. 훌륭한 연출, 연기 다 좋았다. 외국어로 본 바보연기도 인상깊었다. 인상깊은 대사까지. 좋은 영화이다....",난 나다(kimd****),2013.09.13 20:35,265,7
23,8,"억지감동, 신파없이도 이렇게 착한 영화는 탄생한다. 대중성과 작품성, 유머감각까지도 모두 놓치지 않은 좋은 영화의 표본.",살기좋은분당(yols****),2013.11.28 01:12,237,25
24,9,미국 근현대사의 산증인 포레스트 검프,godt****,2013.08.14 11:25,214,11
25,10,"관람객


														
															
															
																마음이 너무 따뜻해져 눈물이 난다.",chlg****,2016.03.31 23:43,186,5
